index,state
0,Arizona
1,Arkansas
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Minnesota
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,New Mexico
25,New York
26,North Carolina
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,Tennessee
33,Utah
34,Vermont
35,Virginia
36,Washington
37,West Virginia
38,Wisconsin
39,Wyoming
